iter	RMSE
0	189469.2709
1	181277.2968
2	173911.2336
3	166762.5889
4	159698.5969
5	153078.1162
6	146743.6466
7	141079.216
8	135769.0164
9	130685.4092
10	125883.467
11	121156.2232
12	116965.594
13	112751.7764
14	108969.3135
15	105338.2139
16	102174.1741
17	98839.60566
18	95880.11238
19	93067.68887
20	90464.44742
21	87850.04311
22	85372.93708
23	83152.36341
24	81300.01577
25	79368.38056
26	77683.26148
27	76045.37053
28	74363.72546
29	72613.46921
30	70896.47168
31	69632.05153
32	68485.93229
33	67388.12354
34	66112.51425
35	64901.38095
36	63999.91652
37	63018.85068
38	61882.86366
39	60848.09549
40	59944.81746
41	59002.85727
42	58466.00026
43	57896.68074
44	57100.75696
45	56216.2612
46	55454.6391
47	54648.5277
48	53885.35825
49	53129.22198
50	52494.74429
51	51829.06897
52	51487.69775
53	50939.18535
54	50386.15369
55	49894.12682
56	49301.5718
57	49095.63024
58	48547.89354
59	48051.67217
60	47511.28795
61	46967.54938
62	46474.25829
63	46028.63685
64	45638.81808
65	45219.97225
66	44747.08793
67	44322.80682
68	43862.00657
69	43406.82895
70	43076.81718
71	42667.95948
72	42232.01295
73	41790.7846
74	41431.66535
75	41027.24727
76	40658.22056
77	40557.27677
78	40188.57137
79	39917.87842
80	39581.714
81	39284.8833
82	38991.34046
83	38666.48048
84	38340.49295
85	38056.12213
86	37938.50109
87	37596.95752
88	37322.85225
89	37015.56111
90	36735.87879
91	36444.96123
92	36218.51686
93	35969.43975
94	35702.45281
95	35537.55122
96	35468.2504
97	35192.51817
98	34916.51117
99	34832.74597
100	34608.78554
101	34356.39127
102	34125.6088
103	34069.2298
104	33844.12412
105	33633.8836
106	33428.87637
107	33224.61423
108	32998.43985
109	32803.98273
110	32602.24289
111	32406.25178
112	32226.57353
113	32048.38728
114	31873.71445
115	31700.76199
116	31500.41486
117	31333.00055
118	31279.16766
119	31099.85027
120	30945.52995
121	30777.19067
122	30596.37314
123	30450.06583
124	30403.93532
125	30262.38424
126	30101.31113
127	29933.52491
128	29766.18401
129	29622.93836
130	29534.83186
131	29483.29122
132	29425.83624
133	29360.94983
134	29204.71562
135	29142.54722
136	29013.94938
137	28892.22034
138	28753.26513
139	28617.72639
140	28574.44335
141	28525.22188
142	28393.81824
143	28278.78686
144	28228.19354
145	28097.9666
146	27988.13281
147	27887.71961
148	27786.05994
149	27667.16326
150	27564.70253
151	27444.22368
152	27346.41986
153	27218.77733
154	27100.25283
155	26990.96683
156	26901.5948
157	26801.85738
158	26767.65298
159	26732.33588
160	26626.65927
161	26528.17642
162	26488.982
163	26443.24
164	26361.78779
165	26307.66799
166	26206.51057
167	26127.62827
168	26021.97342
169	25994.38586
170	25907.54147
171	25824.95219
172	25748.78631
173	25664.34136
174	25594.69983
175	25511.72343
176	25434.76173
177	25408.98408
178	25379.37798
179	25340.89884
180	25248.47357
181	25207.9304
182	25143.76143
183	25071.41378
184	25038.2551
185	24964.61144
186	24929.50025
187	24890.17178
188	24823.84988
189	24795.08716
190	24711.93526
191	24674.77542
192	24648.22608
193	24582.00867
194	24547.42438
195	24480.89838
196	24418.67312
197	24355.97895
198	24260.86351
199	24223.33724
200	24162.39167
201	24116.14892
202	24059.00768
203	24008.64637
204	23969.15376
205	23892.43161
206	23837.27663
207	23788.91605
208	23779.76024
209	23689.59342
210	23664.97767
211	23613.19594
212	23563.7524
213	23543.75316
214	23512.54784
215	23464.1343
216	23408.33317
217	23363.40021
218	23336.6968
219	23329.67718
220	23275.51422
221	23190.43126
222	23143.57525
223	23092.13938
224	23072.16212
225	23001.954
226	22964.79053
227	22921.0261
228	22881.16856
229	22849.01752
230	22817.83276
231	22810.37925
232	22776.34765
233	22735.66768
234	22654.83378
235	22620.51655
236	22588.05842
237	22570.32435
238	22560.81671
239	22525.76893
240	22486.2381
241	22472.1394
242	22443.20109
243	22434.47489
244	22412.82797
245	22411.21151
246	22381.72039
247	22342.77548
