iter	Passed	Remaining
0	158	158422
1	161	80476
2	163	54483
3	166	41472
4	169	33677
5	172	28521
6	174	24812
7	177	22002
8	180	19820
9	182	18088
10	185	16678
11	188	15512
12	191	14519
13	194	13673
14	196	12928
15	199	12284
16	202	11720
17	205	11207
18	208	10748
19	210	10338
20	214	9997
21	217	9684
22	221	9389
23	224	9134
24	228	8909
25	232	8695
26	235	8488
27	238	8290
28	241	8101
29	245	7925
30	248	7760
31	251	7604
32	254	7453
33	257	7313
34	260	7175
35	263	7043
36	265	6918
37	269	6813
38	271	6700
39	276	6641
40	281	6582
41	284	6498
42	288	6428
43	291	6336
44	294	6244
45	297	6161
46	300	6091
47	303	6018
48	306	5943
49	309	5879
50	312	5809
51	315	5756
52	318	5699
53	321	5632
54	324	5570
55	326	5512
56	330	5468
57	333	5421
58	336	5368
59	339	5315
60	341	5261
61	344	5214
62	347	5175
63	350	5128
64	353	5081
65	356	5039
66	359	5001
67	362	4972
68	365	4930
69	368	4890
70	370	4852
71	373	4812
72	377	4796
73	380	4763
74	383	4728
75	386	4693
76	388	4660
77	392	4641
78	395	4611
79	398	4577
80	400	4547
81	403	4517
82	407	4496
83	409	4469
84	412	4440
85	415	4413
86	417	4386
87	420	4362
88	424	4348
89	427	4326
90	430	4304
91	434	4284
92	437	4266
93	440	4248
94	443	4224
95	446	4200
96	448	4178
97	452	4161
98	455	4146
99	458	4126
100	461	4104
101	463	4084
102	466	4062
103	469	4047
104	472	4029
105	475	4009
106	478	3990
107	480	3971
108	484	3957
109	487	3940
110	489	3922
111	492	3905
112	495	3886
113	498	3871
114	502	3864
115	505	3850
116	508	3835
117	511	3826
118	515	3816
119	520	3814
120	523	3801
121	526	3788
122	529	3776
123	533	3769
124	537	3762
125	540	3751
126	543	3738
127	547	3731
128	550	3719
129	554	3707
130	557	3700
131	561	3691
132	564	3680
133	568	3673
134	571	3662
135	574	3651
136	578	3641
137	581	3630
138	584	3619
139	587	3607
140	591	3601
141	595	3595
142	598	3586
143	601	3574
144	604	3561
145	607	3554
146	611	3545
147	613	3533
148	616	3520
149	619	3509
150	621	3494
151	624	3485
152	627	3474
153	630	3463
154	633	3451
155	636	3442
156	639	3434
157	642	3423
158	645	3413
159	647	3401
160	650	3389
161	654	3385
162	657	3376
163	660	3366
164	663	3356
165	665	3345
166	669	3340
167	672	3330
168	675	3319
169	677	3309
170	680	3298
171	683	3292
172	686	3281
173	689	3270
174	691	3261
175	694	3251
176	697	3242
177	700	3235
178	703	3226
179	706	3216
180	708	3207
181	711	3197
182	714	3189
183	716	3179
184	719	3170
185	722	3161
186	725	3152
187	728	3145
188	731	3137
189	733	3127
190	736	3119
191	739	3110
192	741	3102
193	744	3094
194	747	3085
195	750	3077
196	752	3069
197	755	3060
198	758	3053
199	761	3045
200	764	3037
201	766	3029
202	769	3020
203	772	3013
204	775	3005
205	777	2997
206	780	2989
207	782	2981
208	785	2972
209	788	2964
210	790	2956
211	793	2948
212	795	2939
213	798	2931
214	800	2923
215	803	2915
216	805	2907
217	808	2900
218	810	2891
219	813	2883
220	816	2877
221	818	2870
222	821	2863
223	824	2857
224	827	2850
225	830	2843
226	833	2836
227	835	2829
228	838	2823
229	841	2815
230	843	2807
231	846	2801
232	848	2793
233	851	2786
234	853	2779
235	856	2771
236	858	2764
237	861	2758
238	864	2751
239	866	2744
240	869	2737
241	871	2730
242	874	2725
243	877	2718
244	880	2712
245	882	2705
246	885	2698
247	888	2693
248	890	2686
249	893	2680
250	896	2673
251	898	2667
252	901	2661
253	904	2656
254	907	2650
255	909	2644
256	912	2639
257	915	2634
258	919	2629
259	921	2623
260	924	2618
261	927	2613
262	930	2608
263	933	2603
264	936	2597
265	939	2592
266	942	2587
267	945	2582
268	949	2578
269	952	2573
270	955	2569
271	958	2564
272	961	2559
273	964	2554
274	966	2549
275	969	2543
276	972	2538
277	975	2533
278	978	2529
279	981	2524
280	984	2518
281	987	2513
282	990	2509
283	993	2504
284	996	2499
285	999	2494
286	1001	2489
287	1005	2485
288	1008	2480
289	1011	2476
290	1015	2473
291	1018	2470
292	1022	2466
293	1026	2465
294	1029	2461
295	1033	2458
296	1037	2456
297	1041	2453
298	1044	2449
299	1048	2446
300	1052	2443
301	1055	2439
302	1058	2435
303	1061	2431
304	1065	2427
305	1069	2426
306	1073	2422
307	1076	2419
308	1079	2414
309	1083	2412
310	1087	2409
311	1091	2405
312	1094	2402
313	1098	2399
314	1117	2430
315	1120	2426
316	1124	2422
317	1127	2418
318	1132	2418
319	1137	2416
320	1140	2411
321	1143	2406
322	1146	2403
323	1149	2399
324	1152	2394
325	1155	2389
326	1158	2384
327	1161	2379
328	1165	2376
329	1168	2371
330	1171	2367
331	1174	2362
332	1178	2360
333	1181	2355
334	1184	2351
335	1187	2346
336	1190	2342
337	1194	2339
338	1197	2335
339	1200	2330
340	1203	2326
341	1207	2322
342	1210	2318
343	1213	2314
344	1216	2309
345	1219	2304
346	1222	2300
347	1226	2297
348	1229	2292
349	1232	2288
350	1235	2283
351	1238	2279
352	1241	2275
353	1244	2270
354	1247	2266
355	1250	2261
356	1253	2257
357	1256	2254
358	1260	2250
359	1263	2246
360	1266	2242
361	1270	2238
362	1273	2234
363	1276	2229
364	1279	2225
365	1282	2220
366	1285	2217
367	1288	2213
368	1291	2208
369	1294	2203
370	1297	2199
371	1301	2196
372	1304	2192
373	1307	2187
374	1310	2183
375	1312	2178
376	1316	2175
377	1319	2171
378	1322	2167
379	1325	2162
380	1328	2158
381	1332	2155
382	1335	2150
383	1338	2146
384	1340	2142
385	1343	2137
386	1347	2134
387	1350	2130
388	1353	2125
389	1356	2121
390	1359	2117
391	1362	2113
392	1365	2109
393	1368	2105
394	1371	2101
395	1374	2096
396	1378	2093
397	1381	2089
398	1384	2085
399	1387	2081
400	1390	2076
401	1394	2073
402	1397	2069
403	1400	2065
404	1402	2061
405	1405	2056
406	1409	2054
407	1412	2050
408	1415	2045
409	1418	2041
410	1421	2037
411	1425	2034
412	1428	2030
413	1431	2026
414	1434	2021
415	1437	2018
416	1440	2014
417	1443	2010
418	1446	2006
419	1449	2002
420	1452	1998
421	1456	1994
422	1459	1990
423	1462	1987
424	1466	1983
425	1470	1980
426	1473	1977
427	1476	1973
428	1479	1968
429	1482	1964
430	1486	1961
431	1489	1957
432	1491	1953
433	1494	1949
434	1497	1945
435	1502	1942
436	1504	1938
437	1507	1934
438	1510	1930
439	1513	1926
440	1517	1923
441	1520	1919
442	1523	1915
443	1526	1911
444	1529	1907
445	1532	1903
446	1535	1899
447	1538	1895
448	1541	1891
449	1545	1888
450	1548	1885
451	1551	1881
452	1554	1877
453	1557	1872
454	1560	1869
455	1564	1865
456	1567	1862
457	1570	1858
458	1573	1854
459	1576	1850
460	1580	1847
461	1582	1843
462	1585	1839
463	1588	1835
464	1592	1831
465	1595	1828
466	1598	1824
467	1601	1820
468	1604	1816
469	1607	1812
470	1611	1809
471	1614	1805
472	1617	1801
473	1620	1797
474	1623	1794
475	1627	1791
476	1630	1787
477	1633	1783
478	1636	1779
479	1640	1777
480	1643	1773
481	1646	1769
482	1649	1765
483	1652	1761
484	1655	1758
485	1658	1754
486	1661	1750
487	1664	1746
488	1667	1742
489	1671	1739
490	1674	1736
491	1677	1732
492	1680	1728
493	1683	1724
494	1687	1721
495	1690	1717
496	1693	1713
497	1696	1709
498	1699	1706
499	1703	1703
500	1706	1699
501	1709	1695
502	1712	1691
503	1715	1688
504	1719	1684
505	1721	1681
506	1724	1677
507	1727	1673
508	1730	1669
509	1734	1666
510	1736	1662
511	1739	1658
512	1742	1654
513	1745	1650
514	1749	1647
515	1752	1643
516	1755	1639
517	1757	1635
518	1760	1631
519	1763	1627
520	1767	1625
521	1770	1621
522	1773	1617
523	1775	1613
524	1778	1609
525	1781	1605
526	1784	1601
527	1786	1597
528	1789	1593
529	1792	1589
530	1795	1585
531	1797	1581
532	1800	1577
533	1803	1573
534	1805	1569
535	1808	1565
536	1811	1561
537	1813	1557
538	1816	1553
539	1819	1549
540	1822	1545
541	1825	1542
542	1827	1538
543	1830	1534
544	1833	1530
545	1836	1526
546	1839	1522
547	1841	1519
548	1844	1515
549	1847	1511
550	1849	1507
551	1852	1503
